,Neighborhood,Longitude,Latitude,City
0,Agincourt North,-79.266712166,43.8054405769,"Toronto, Canada"
1,Agincourt South-Malvern West,-79.2656117966,43.788657551099995,"Toronto, Canada"
2,Alderwood,-79.5416109273,43.6049368959,"Toronto, Canada"
3,Annex,-79.4040006243,43.6715854351,"Toronto, Canada"
4,Banbury-Don Mills,-79.3497179808,43.737657004300004,"Toronto, Canada"
5,Bathurst Manor,-79.4560551588,43.7648133077,"Toronto, Canada"
6,Bay Street Corridor,-79.3857212509,43.6575113467,"Toronto, Canada"
7,Bayview Village,-79.3771168597,43.7763605236,"Toronto, Canada"
8,Bayview Woods-Steeles,-79.3821179542,43.7968018666,"Toronto, Canada"
9,Bedford Park-Nortown,-79.4202273481,43.731486231800005,"Toronto, Canada"
10,Beechborough-Greenbrook,-79.4794725057,43.6932164866,"Toronto, Canada"
11,Bendale,-79.2574003723,43.7603663086,"Toronto, Canada"
12,Birchcliffe-Cliffside,-79.2650925923,43.694681978599995,"Toronto, Canada"
13,Black Creek,-79.5219793188,43.7648902472,"Toronto, Canada"
14,Blake-Jones,-79.3373941732,43.67617287979999,"Toronto, Canada"
15,Briar Hill-Belgravia,-79.4528512962,43.699024381,"Toronto, Canada"
16,Bridle Path-Sunnybrook-York Mills,-79.3789041759,43.7310131378,"Toronto, Canada"
17,Broadview North,-79.3556295118,43.688825119200004,"Toronto, Canada"
18,Brookhaven-Amesbury,-79.485589259,43.701326305600006,"Toronto, Canada"
19,Cabbagetown-South St. James Town,-79.36610665810001,43.667647727399995,"Toronto, Canada"
20,Caledonia-Fairbank,-79.4552120796,43.688568651000004,"Toronto, Canada"
21,Casa Loma,-79.4080066472,43.6818521005,"Toronto, Canada"
22,Centennial Scarborough,-79.1508432723,43.7823764958,"Toronto, Canada"
23,Church-Yonge Corridor,-79.3790171666,43.6596488635,"Toronto, Canada"
24,Clairlea-Birchmount,-79.28138178420001,43.713592375,"Toronto, Canada"
25,Clanton Park,-79.4463025758,43.7419784331,"Toronto, Canada"
26,Cliffcrest,-79.2355295687,43.7211211669,"Toronto, Canada"
27,Corso Italia-Davenport,-79.4474693307,43.6776609067,"Toronto, Canada"
28,Danforth,-79.32981940890001,43.6840254743,"Toronto, Canada"
29,Danforth East York,-79.3314033847,43.6894680941,"Toronto, Canada"
30,Don Valley Village,-79.3536441306,43.783293686899995,"Toronto, Canada"
31,Dorset Park,-79.2789079388,43.759274372700006,"Toronto, Canada"
32,Dovercourt-Wallace Emerson-Junction,-79.4385406986,43.6656769317,"Toronto, Canada"
33,Downsview-Roding-CFB,-79.4904973518,43.7332923453,"Toronto, Canada"
34,Dufferin Grove,-79.4373410365,43.6554283326,"Toronto, Canada"
35,East End-Danforth,-79.2993586723,43.684173877700005,"Toronto, Canada"
36,Edenbridge-Humber Valley,-79.5224577643,43.6708859094,"Toronto, Canada"
37,Eglinton East,-79.245598036,43.7409222979,"Toronto, Canada"
38,Elms-Old Rexdale,-79.54898271649999,43.721518868400004,"Toronto, Canada"
39,Englemount-Lawrence,-79.43740855,43.7203446653,"Toronto, Canada"
40,Eringate-Centennial-West Deane,-79.5804452375,43.6580167554,"Toronto, Canada"
41,Etobicoke West Mall,-79.5689387722,43.6450626244,"Toronto, Canada"
42,Flemingdon Park,-79.3326459673,43.715929753999994,"Toronto, Canada"
43,Forest Hill North,-79.42814316479999,43.7042175596,"Toronto, Canada"
44,Forest Hill South,-79.4143178642,43.694525756400004,"Toronto, Canada"
45,Glenfield-Jane Heights,-79.5134653159,43.745635749799995,"Toronto, Canada"
46,Greenwood-Coxwell,-79.3243180234,43.6726123109,"Toronto, Canada"
47,Guildwood,-79.1950553496,43.7488293378,"Toronto, Canada"
48,Henry Farm,-79.3412406671,43.7711441425,"Toronto, Canada"
49,High Park North,-79.4663021661,43.6575649139,"Toronto, Canada"
50,High Park-Swansea,-79.46787222430001,43.6450645834,"Toronto, Canada"
51,Highland Creek,-79.17747247289999,43.7907747688,"Toronto, Canada"
52,Hillcrest Village,-79.3548039999,43.8029878281,"Toronto, Canada"
53,Humber Heights-Westmount,-79.5224162029,43.6922328007,"Toronto, Canada"
54,Humber Summit,-79.55617473630001,43.7589197465,"Toronto, Canada"
55,Humbermede,-79.5423671192,43.7434295175,"Toronto, Canada"
56,Humewood-Cedarvale,-79.4276833521,43.6913698124,"Toronto, Canada"
57,Ionview,-79.27247049420001,43.735364407700004,"Toronto, Canada"
58,Islington-City Centre West,-79.5433165354,43.6334633497,"Toronto, Canada"
59,Junction Area,-79.47143987359999,43.6678897668,"Toronto, Canada"
60,Keelesdale-Eglinton West,-79.4714371062,43.6857274725,"Toronto, Canada"
61,Kennedy Park,-79.2603822071,43.725555723199996,"Toronto, Canada"
62,Kensington-Chinatown,-79.3972398768,43.653554131599996,"Toronto, Canada"
63,Kingsview Village-The Westway,-79.5478633059,43.698992572200005,"Toronto, Canada"
64,Kingsway South,-79.5105768007,43.6535204276,"Toronto, Canada"
65,L'Amoreaux,-79.3140842409,43.7957160278,"Toronto, Canada"
66,Lambton Baby Point,-79.4960452553,43.6574201304,"Toronto, Canada"
67,Lansing-Westgate,-79.4247477215,43.754271154899996,"Toronto, Canada"
68,Lawrence Park North,-79.40397836359999,43.73006017229999,"Toronto, Canada"
69,Lawrence Park South,-79.40603941020001,43.71721170479999,"Toronto, Canada"
70,Leaside-Bennington,-79.3660723439,43.7037966281,"Toronto, Canada"
71,Little Portugal,-79.4303227131,43.6475359304,"Toronto, Canada"
72,Long Branch,-79.5333454492,43.592361688500006,"Toronto, Canada"
73,Malvern,-79.22251661899999,43.8036581967,"Toronto, Canada"
74,Maple Leaf,-79.48075801739999,43.7155739408,"Toronto, Canada"
75,Markland Wood,-79.57343154739999,43.6335417462,"Toronto, Canada"
76,Milliken,-79.2750089244,43.8206907942,"Toronto, Canada"
77,Mimico,-79.5001366364,43.615923861300004,"Toronto, Canada"
78,Morningside,-79.2070411878,43.782398614499996,"Toronto, Canada"
79,Moss Park,-79.3672970317,43.6565176231,"Toronto, Canada"
80,Mount Dennis,-79.4999890581,43.6881440868,"Toronto, Canada"
81,Mount Olive-Silverstone-Jamestown,-79.58725926460001,43.7468678027,"Toronto, Canada"
82,Mount Pleasant East,-79.3849239458,43.7048521692,"Toronto, Canada"
83,Mount Pleasant West,-79.393359554,43.70443517060001,"Toronto, Canada"
84,New Toronto,-79.5103580889,43.6005885981,"Toronto, Canada"
85,Newtonbrook East,-79.4059374472,43.791535791,"Toronto, Canada"
86,Newtonbrook West,-79.4314215112,43.7858299384,"Toronto, Canada"
87,Niagara,-79.412420401,43.6366808791,"Toronto, Canada"
88,North Riverdale,-79.3512604136,43.671995149,"Toronto, Canada"
89,North St. James Town,-79.3752465775,43.6696234081,"Toronto, Canada"
90,O'Connor-Parkview,-79.3122277655,43.7068004906,"Toronto, Canada"
91,Oakridge,-79.2797083433,43.6974081338,"Toronto, Canada"
92,Oakwood Village,-79.4397854793,43.6885655593,"Toronto, Canada"
93,Old East York,-79.3354883594,43.696781271199995,"Toronto, Canada"
94,Palmerston-Little Italy,-79.41840872739999,43.6591571037,"Toronto, Canada"
95,Parkwoods-Donalda,-79.3301795171,43.755033474499996,"Toronto, Canada"
96,Pelmo Park-Humberlea,-79.52828220239999,43.7175146009,"Toronto, Canada"
97,Playter Estates-Danforth,-79.3548872857,43.6797004697,"Toronto, Canada"
98,Pleasant View,-79.33494842520001,43.786981759,"Toronto, Canada"
99,Princess-Rosethorn,-79.5445592919,43.666050604300004,"Toronto, Canada"
100,Regent Park,-79.3605088051,43.659992142200004,"Toronto, Canada"
101,Rexdale-Kipling,-79.5662284127,43.723725477200006,"Toronto, Canada"
102,Rockcliffe-Smythe,-79.4944204513,43.6747904521,"Toronto, Canada"
103,Roncesvalles,-79.4429924472,43.646122994399995,"Toronto, Canada"
104,Rosedale-Moore Park,-79.3796694025,43.682820425299994,"Toronto, Canada"
105,Rouge,-79.1863434458,43.8212012569,"Toronto, Canada"
106,Runnymede-Bloor West Village,-79.485708182,43.6592688193,"Toronto, Canada"
107,Rustic,-79.4980914696,43.7116091166,"Toronto, Canada"
108,Scarborough Village,-79.216812619,43.7386518596,"Toronto, Canada"
109,South Parkdale,-79.43933783119999,43.6366995242,"Toronto, Canada"
110,South Riverdale,-79.335651321,43.649292063500006,"Toronto, Canada"
111,St.Andrew-Windfields,-79.37903708649999,43.7562458348,"Toronto, Canada"
112,Steeles,-79.3212070061,43.812958825900004,"Toronto, Canada"
113,Stonegate-Queensway,-79.50112821329999,43.635518132899996,"Toronto, Canada"
114,Tam O'Shanter-Sullivan,-79.3029187122,43.7801298547,"Toronto, Canada"
115,Taylor-Massey,-79.2959011188,43.6949981893,"Toronto, Canada"
116,The Beaches,-79.2996013043,43.671049993100006,"Toronto, Canada"
117,Thistletown-Beaumond Heights,-79.56349101720001,43.737987917299996,"Toronto, Canada"
118,Thorncliffe Park,-79.3499836075,43.707749211899994,"Toronto, Canada"
119,Trinity-Bellwoods,-79.4153421634,43.6501763,"Toronto, Canada"
120,University,-79.401179748,43.6625062026,"Toronto, Canada"
121,Victoria Village,-79.31487382649999,43.728489019399994,"Toronto, Canada"
122,Waterfront Communities-The Island,-79.3772023146,43.6338803623,"Toronto, Canada"
123,West Hill,-79.1766760264,43.7674902567,"Toronto, Canada"
124,West Humber-Clairville,-79.59635645350001,43.7161804033,"Toronto, Canada"
125,Westminster-Branson,-79.4524182256,43.7788132165,"Toronto, Canada"
126,Weston,-79.5157225505,43.702716046300004,"Toronto, Canada"
127,Weston-Pellam Park,-79.4602439114,43.67396203770001,"Toronto, Canada"
128,Wexford/Maryvale,-79.2986365699,43.7485721411,"Toronto, Canada"
129,Willowdale East,-79.40148378960001,43.7706022616,"Toronto, Canada"
130,Willowdale West,-79.4275578,43.771210491800005,"Toronto, Canada"
131,Willowridge-Martingrove-Richview,-79.5542210494,43.683644963,"Toronto, Canada"
132,Woburn,-79.2285857671,43.766740239300006,"Toronto, Canada"
133,Woodbine Corridor,-79.3154073786,43.6767729247,"Toronto, Canada"
134,Woodbine-Lumsden,-79.3111635266,43.694106742399995,"Toronto, Canada"
135,Wychwood,-79.425514947,43.6769192679,"Toronto, Canada"
136,Yonge-Eglinton,-79.4035901675,43.704689367700006,"Toronto, Canada"
137,Yonge-St.Clair,-79.3978707687,43.687858872,"Toronto, Canada"
138,York University Heights,-79.4888829298,43.765736490900004,"Toronto, Canada"
139,Yorkdale-Glen Park,-79.4571080738,43.714671529300006,"Toronto, Canada"
